id,x,y,size,IdAsLabel,label,color
Central,0,0,1.5,TRUE,,green
Wood,1,0,1.5,FALSE,The Wood,
Maitai,2,0,1.5,FALSE,Maitai Valley,green
Brook,1,-1,1.5,FALSE,The Brook,green
South,0,-1,1.5,FALSE,Nelson South,white
Victory,-1,-1,1.5,FALSE,Victory Square,white
Bishopsdale,1,-2,1.5,TRUE,,white
Washington,-1,0,1.5,FALSE,Washington Valley,white
Port,-1,1,1.5,TRUE,,white
Tahunanui,-2,0,1.5,TRUE,,white
Nayland,-2,-3,1.5,TRUE,,white
Annesbrook,-1,-3,1.5,TRUE,,white
Stoke,-1,-4,1.5,TRUE,,white
EnnerGlynn,0,-3,1.5,FALSE,Enner Glynn,white
Atawhai,1,1,1.5,TRUE,,green
